IDPRODUCTO|NOMBRE|MARCA|DESCRIPCION|PRECIO_COSTO|PRECIO_VENTA|IDSUBCATEGORIA
PRODUCTO.NEXTVAL|Galletas Soda Field Pack 6 Unid x 34 g|FIELD|GALLETA DE SODA|2.3|2.6|17
PRODUCTO.NEXTVAL|Galletas Coronita Field Chocolate Pack 6 Unid x 38 g|FIELD|GALLETA|3|3.99|17
PRODUCTO.NEXTVAL|Galletas Oreo Nabisco Original Pack 6 Unid x 36 g|NABISCO|GALLETA|3|3.89|17
PRODUCTO.NEXTVAL|Galletas Club Social Nabisco Clásicas Pack 6 Unid x 26 g|NABISCO|GALLETA|3|3.9|17
PRODUCTO.NEXTVAL|Galletas Pícaras Winter's Chocolate Pack 6 Unid x 40 g|WINTER|GALLETA CHOCOLATE|3|3.35|17
PRODUCTO.NEXTVAL|Galletas Chips Ahoy Nabisco Chocolate Pack 6 Unid x 45 g|NABISCO|CHIPS AHOY|5.4|5.95|17
PRODUCTO.NEXTVAL|Galletas Margarita Sayón Pack 6 Unid x 50 g|SAYON|GALLETA|2|2.69|17
PRODUCTO.NEXTVAL|Galletas Morochas Nestlé Pack 6 Unidades|MOROCHAS|GALLETA DE CHOCOLATE|4|4.25|17
PRODUCTO.NEXTVAL|Galletas Agua Light Costa Pack 6 Unid x 44 g|AGUA LIGH|GALLETA DE AGUA|2.5|2.95|17
PRODUCTO.NEXTVAL|Galletas Ritz Nabisco Original Pack 6|RITZ|GALLETA |2.5|3.1|17
PRODUCTO.NEXTVAL|Galletas Integrackers Victoria Salvado de Trigo y Miel Pack 9 Unid x 30 g|VICTORIA|GALLETA|5|5.4|17
PRODUCTO.NEXTVAL|Wafers Nik Costa Vainilla Pack 6 Unidades|COSTA|WAFFER|2|2.65|17
PRODUCTO.NEXTVAL|Galletas Doña Pepa Nabisco Chocolate Pack 6 Unid x 23 g|FIELD|GALLETAS DE CHOCOLATE|3|3.99|17
PRODUCTO.NEXTVAL|Galletas Soda V Victoria Pack 6 Unid x 35 g|VICTORIA|GALLETA SODA|2|2.89|17
PRODUCTO.NEXTVAL|GALLETAS VERONA FRESA 191GR PEPPERIDGE F|PEPPERIEDGE|GALLETAS|10.8|11.2|17
PRODUCTO.NEXTVAL|Galletas Tentación Victoria Chocolate Pack 6 Unid x 47 g|VICTORIA|GALLETA DE CHOCOLATE|3|3.69|17
PRODUCTO.NEXTVAL|Galletas Casino Victoria Menta Pack 6 Unid x 47 g|VICTORIA|GALLETA CASINO|2.2|2.85|17
PRODUCTO.NEXTVAL|Galletas Casino Victoria Fresa Pack 6 Unid x 47 g|VICTORIA|GALLETA DE FRESA|3.4|3.69|17
PRODUCTO.NEXTVAL|Galletas Chokis Gamesa Chocolate Pack 6 Unid x 40 g|GAMESA|GALLETA CHOCOLTA CHOKIS|6|6.25|17
PRODUCTO.NEXTVAL|Galletas Picaras Chips Six Pack|WINTER|GALLETA DE CHOCOLATE|5.25|5.8|17
PRODUCTO.NEXTVAL|Galleta Crisparroz Ajonjoli Want Want Contenido 100 g|WANT|GALLET DE ARROZ|9|9.3|17
PRODUCTO.NEXTVAL|Galleta Mini Margarita Sayon 90 g|SAYON|GALLETA MARGARITAS|1.3|1.85|17
PRODUCTO.NEXTVAL|Galleta Danesa Riberhus Light Blue 454 g|RIPESA|GALLETAS LIGHT|11|1.9|17
PRODUCTO.NEXTVAL|Galletas Salvado de Trigo Fibra Light Bolsa 70 g - Galletas Salvado de Trigo Bolsa 70 g|FIBRA LIGHY|GALLETA INTEGRAL|2|2.9|17
PRODUCTO.NEXTVAL|Galletas Club Social Integral Nabisco Pack 6 Unid x 26 g|NABISCO|GALLETA CLUB SOCIAL|3|3.9|17
PRODUCTO.NEXTVAL|Manzanilla Hornimans Caja 25 Unid|HORNIMANS|MANZANILLA|2|2.45|18
PRODUCTO.NEXTVAL|Manzanilla McCollins Caja 25 Unid|McColins|MANZANILLA|2.3|2.7|18
PRODUCTO.NEXTVAL|Café Molido Cafetal Tostado Selecto Bolsa 454 g|CAFETAL|CAFÉ PASADO|16.5|17.5|18
PRODUCTO.NEXTVAL|NESCAFÉ Tradición Frasco 200 g|NESCAFE|CAFÉ FRESCO|24.9|25.65|18
PRODUCTO.NEXTVAL|Café Instantaneo Clasico Wong Frasco 50 g|WONG|CAFÉ|5|5.2|18
PRODUCTO.NEXTVAL|Anís McCollins Caja 25 Unid|McColins|ANIS|2|2.7|18
PRODUCTO.NEXTVAL|Hierba Luisa Naturandes 50 g - HIERBA LUISA50g|NATURANDES|HIERBA LUISA|5|5.4|18
PRODUCTO.NEXTVAL|Naturandes Cebada Tostada Bolsa 170 g|NATURANDES|CEBADA|4|4.65|18
PRODUCTO.NEXTVAL|Té Puro Hornimans Caja 100 Sobres|HORNIMANS|TE|7|7.85|18
PRODUCTO.NEXTVAL|Cafetal Selecto Bolsa 200 g|CAFETAL|CAFÉ PASADO|7|7.85|18
PRODUCTO.NEXTVAL|Cebada Instantánea en Polvo Ecco Doy Pack 50 gr|ECO|CEBADA INSTANTANEA|3|3.25|18
PRODUCTO.NEXTVAL|Té Verde Sunka Caja 25 Unid|SUNKA|TE VERDE|9|9.55|18
PRODUCTO.NEXTVAL|Carne Molida de Bisteck Nacional x kg|CARNE MOLIDA|CARNE MOLIDA|24|24.9|19
PRODUCTO.NEXTVAL|Bisteck Cabeza de Lomo Nacional x kg|BISTECK|CARNE FINA|31|35|19
PRODUCTO.NEXTVAL|Guiso de Cerdo x kg|CERDO|CARNE DE CERDO POR KGR|20|21.5|20
PRODUCTO.NEXTVAL|Chuleta de Lomo de Cerdo Sin Piel x kg|CERDO|CARNE DE CERDO POR KGR|22|22.6|20
PRODUCTO.NEXTVAL|Costilla Sparerib Americana x kg|CERDO|CARNE DE CERDO POR KGR|25|26.9|20
PRODUCTO.NEXTVAL|Chuleta La Incondicional Gastón & Otto x kg|LA INCONDICIONAL|CHULETA|42|43.9|20
PRODUCTO.NEXTVAL|Pechuga Especial de Pollo x kg|PECHUGA|PECHUGA DE POLLO|13|14.99|21
PRODUCTO.NEXTVAL|Pavo Entero Congelado San Fernando x kg|SAN FERNANDO|PAVO ENTERO SANFERNANDO|11.49|13|21
PRODUCTO.NEXTVAL|Nuggets de Pechuga de Pollo Wong Caja 24 Unid|WONG|PECHUGA DE POLLO|13|13.85|21
PRODUCTO.NEXTVAL|Pollipavo Entero Congelado Redondos x kg|REDONDOS|POLLIPAVO|8|8.49|21
PRODUCTO.NEXTVAL|Suprema de Pollo x kg|WONG|SUPREMA|24|24.6|21
PRODUCTO.NEXTVAL|Hamburguesas de Pollo Redondos Bolsa 14 Unid|REDONDOS|HAMBURGUESA|9.9|10.99|22
PRODUCTO.NEXTVAL|Hamburguesas de Res Otto Kunz Bolsa 4 Unid|OTTO|HAMBURGUESA|10|10.99|22
PRODUCTO.NEXTVAL|Albóndigas de Res Rancheras Oregon Foods Bolsa 600 g|OREGON FOODS|ALBONDIGAS|12|13.5|22
PRODUCTO.NEXTVAL|Hamburguesas Super de Pollo San Fernando Bolsa 14 Unid|SAN FERNANDO|HAMBURGUESA|10.9|11.99|22
PRODUCTO.NEXTVAL|Hamburguesa Parrillera de Pollo Oregon Foods Caja 4 Unid|OREGON FOODS|HAMBURGUESA PARRILLERA|19.5|20.45|22
PRODUCTO.NEXTVAL|Hamburguesas de Lentejas y Champiñones Sanúa Caja 10 Unid|BURGER KIDS|HAMBURGUESA|24|25.9|22
PRODUCTO.NEXTVAL|Hamburguesas Angus Oregon Foods Caja 4 Unid|OREGON FOODS|HAMBURGUESA|40|42.5|22
PRODUCTO.NEXTVAL|Bebida Rehidratante Gatorade Monosabor Pack 6 Unid x 500 ml|GATORADE|GATORADE|10|10.99|23
PRODUCTO.NEXTVAL|Bebida Rehidratante Gatorade Pack 6 Unid x 500 ml|GATORADE|GATORADE|10|10.99|23
PRODUCTO.NEXTVAL|Bebida Energizante Red Bull Pack de 4 unid Lata 250 ml|RED BULL|ENERGIZANTE|22|23.9|23
PRODUCTO.NEXTVAL|POWERADE ZERO 500 ML MORA - PW ZERO 500ML MORA|POWERADE|ENERGIZANTE|2|2.7|23
PRODUCTO.NEXTVAL|Gaseosa Inca Kola Pack 2 Botellas de 2.25 Litros c/u|INCA KOLA|GASEOSA|11|11.9|24
PRODUCTO.NEXTVAL|Gaseosa Coca Cola Zero Botella 2.25 Lt|COCA COLA|GASEOSA|8|8.4|24
PRODUCTO.NEXTVAL|Gaseosa Inca Kola Zero Pack 2 Unid x 1.5 L|INCA KOLA|GASEOSA|10.69|11.5|24
PRODUCTO.NEXTVAL|Gaseosa Coca Cola Botella 1.5 Lt|COCA COLA|GASEOSA|5.5|6|24
PRODUCTO.NEXTVAL|Inca Kola Six Pack de 450 ml c/u|INCA KOLA|GASEOSA|12|12.49|24
PRODUCTO.NEXTVAL|Gaseosa Fanta Botella 3 L|FANTA|GASEOSA|5|5.5|24
PRODUCTO.NEXTVAL|Gaseosa Pepsi Mix Two Pack Pepsi Botella 3 L + 7up Botella 3 L|PROMOCION|GASEOSA|11|11.95|24
PRODUCTO.NEXTVAL|Gaseosa Coca Cola Cherry Lata 355 ml|COCA COLA|GASEOSA EN LATA|3|3.9|24
PRODUCTO.NEXTVAL|Gaseosa Pepsi Botella 500 ml|PEPSI|GASEOSA|1.9|2.1|24
PRODUCTO.NEXTVAL|Gaseosa Guarana Zero Lata 350 ml|GUARANA|GASEOSA|4|4.8|24
PRODUCTO.NEXTVAL|Agua Sin Gas Mineral San Mateo Pack 6 Unidades de 600 ml c/u|SAN MATEO|AGUA|8.5|9.35|25
PRODUCTO.NEXTVAL|Agua Con Gas Mineral San Mateo Pack 6 Unidades de 600 ml c/u|SAN MATEO|AGUA|9|9.55|25
PRODUCTO.NEXTVAL|Agua Sin Gas Cielo Caja 20 L|CIELO|AGUA|20|20.55|25
PRODUCTO.NEXTVAL|Agua Sin Gas Mineral San Mateo Bidón 7 L|SAN MATEO|AGUA|9|9.45|25
PRODUCTO.NEXTVAL|Agua Sin Gas San Luis Bidón 7 L|SAN LUIS|AGUA|9|9.2|25
PRODUCTO.NEXTVAL|Agua Sin Gas San Luis Pack 6 Unidades de 2.5 L c/u|SAN LUIS|AGUA|19.9|20.9|25
PRODUCTO.NEXTVAL|Agua Tónica Britvic Baja en Calorías Pack 4 Unidades de 150 ml c/u|BRITVIC|AGUA|14|14.9|25
PRODUCTO.NEXTVAL|Agua Cielo Life Pack 6 Unidades de 625 ml c/u|CIELO|AGUA|7|7.9|25
PRODUCTO.NEXTVAL|Agua Sin Gas Wong Botella 625 ml|WONG|AGUA|1|1.2|25
PRODUCTO.NEXTVAL|Agua Tónica Light Fever Tree Botella 200 ml|LIGHT FEVER|AGUA|8|8.7|25
PRODUCTO.NEXTVAL|Jugo de Naranja Gloria Caja 1 L|GLORIA|JUGO DE NARANJA|4|4.8|26
PRODUCTO.NEXTVAL|Jugo de Durazno Frugos Caja 1 L|GLORIA|JUGO DE DURAZNO|4.5|5|26
PRODUCTO.NEXTVAL|Frugos 100% De Jugo De Naranja Contenido 1 Litro|FRUGOS DEL VALLE|JUGO NARANJA|7|8|26
PRODUCTO.NEXTVAL|Chicha Morada Naturale Botella 1.9 L|NATURALE|JUGO DE CHICHA|9|9.19|26
PRODUCTO.NEXTVAL|Jugo de Durazno Frugos Pack 6 Unid x 235 ml|FRUGOS DEL VALLE|JUGO DE DURAZNO|7|7.4|26
PRODUCTO.NEXTVAL|Ocean Spray Sparkling Raspberry 84 Oz|OCEAN SPRAY|JUGO RASPABERRY|6|6.9|26
PRODUCTO.NEXTVAL|Free Tea Limon Six Pack Botella 450 ml c u|FREE TEA|JUGO LIMOMN|11|11.99|26
PRODUCTO.NEXTVAL|Vino Blanco Marqués de Riscal Rueda Botella 750 ml|VINO|VINO BLANCO|33|34.9|27
